"zcta","pop","pop10k","ethwhite","ethblack","ethlatin","ethasian","ethother","medianincome","medianincome1k","incomeunder25k","incomeover100k","capincome","housevalue","housevalue100k","edunohs","eduhs","educollege","empexec","gini","iceinc","iceedu","iceeth","hoodzscore","hoodquint","hooddecile"
95358,30664,3.0664,35.4846073571615,2.4067310200887,55.7168014609966,4.21014870858335,3.79272110618315,49345,49.345,21.5679360601787,15.2562294311236,13.7987776210625,215000,2.15,37.1540845694045,62.8459154305955,9.49191941554129,8.43334202974172,0.4045,-0.0631170662905501,-0.276621651538632,0.330778763370728,-4.46605559292407,"1","2"
95360,11408,1.1408,30.7766479663394,1.05189340813464,64.6125525946704,1.57784011220196,3.58520336605891,47478,47.478,27.4442538593482,14.4082332761578,9.3767867352773,172900,1.729,27.6913503422526,72.3086496577474,10.0808960796515,8.06451612903226,0.4241,-0.130360205831904,-0.176104542626011,0.297247545582048,-4.51528621730158,"1","2"
95361,32328,3.2328,73.1749566938877,0.377381836179164,21.755134867607,2.15293244246474,3.7552585993566,65248,65.248,18.3620145959095,27.5340120731597,22.7497972790341,327200,3.272,13.290113452188,86.709886547812,17.852035465726,12.2401633259094,0.4242,0.091719974772502,0.0456192201353799,0.727975748577085,-0.732796943662711,"3","5"
95363,25235,2.5235,28.5238755696453,6.41569249058847,58.1414701803051,3.6695066376065,4.70378442639192,59616,59.616,16.1502213337141,24.4466657146937,15.0649721547908,216300,2.163,30.5555555555556,69.4444444444444,11.764301430143,8.64672082425203,0.3816,0.0829644438097958,-0.187912541254125,0.221081830790569,-3.48796960257446,"2","3"
95364,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,-8.92200563937678,"1","1"
95365,4882,0.4882,3.76894715280623,0.471118394100778,94.7152806226956,1.04465383039738,0,35034,35.034,36.2467866323907,7.11225364181662,3.94173093401885,159200,1.592,59.6212121212121,40.3787878787879,5.90909090909091,6.06308889799263,0.439,-0.291345329905741,-0.537121212121212,0.0329782875870545,-7.69768498505761,"1","1"
95366,16022,1.6022,71.7638247409811,0.93621270752715,20.2596429908875,4.65609786543503,4.52502808638123,75824,75.824,13.4645061728395,38.233024691358,23.8618827160494,352000,3.52,12.3059407990064,87.6940592009936,28.7414613951563,16.7332417925353,0.452,0.247685185185185,0.164355205961499,0.70827612033454,0.821000849722395,"4","7"
95367,22686,2.2686,38.4774750947721,3.38534779158953,51.401745569955,3.67627611742925,5.06479767257339,59762,59.762,16.6815875857953,23.8287078484035,10.8624291256341,214300,2.143,25.9105477855478,74.0894522144522,14.8310023310023,10.4734197302301,0.3852,0.0714712026260818,-0.110795454545455,0.350921273031826,-3.17917157974093,"2","3"
95368,15128,1.5128,47.0782654680064,2.86885245901639,42.8410893707033,5.01718667371761,4.15785298783712,72355,72.355,8.25277057297807,26.1730723885876,9.57321386465456,221700,2.217,19.9768786127168,80.0231213872832,17.0635838150289,11.1713379164463,0.3089,0.179203018156095,-0.0291329479768786,0.4420941300899,-2.32853050683834,"2","4"
95369,1436,0.1436,50.6267409470752,0,46.100278551532,0.696378830083565,4.17827298050139,54063,54.063,26.1261261261261,17.5675675675676,26.5765765765766,363600,3.636,29.3519695044473,70.6480304955527,8.64040660736976,7.79944289693593,0.4476,-0.0855855855855856,-0.207115628970775,0.506267409470752,-2.50457623806369,"2","4"
95370,27767,2.7767,86.2426621529153,1.27489465912774,7.26041704181222,1.06241221593978,6.06475312421219,47366,47.366,26.6952114645229,20.3687521845509,32.0342537574275,308600,3.086,9.48759007205765,90.5124099279423,20.2311849479584,12.1763244138726,0.4551,-0.0632645927997204,0.107435948759007,0.849677674937876,-0.555032982865978,"3","6"
95372,1744,0.1744,97.3623853211009,0,2.00688073394495,0.286697247706422,0.344036697247706,57457,57.457,7.48091603053435,21.8320610687023,21.3740458015267,270500,2.705,6.04089219330855,93.9591078066914,12.0817843866171,10.2064220183486,0.2789,0.143511450381679,0.0604089219330855,0.973623853211009,-1.4368613076868,"3","5"
95374,1819,0.1819,59.0434304562947,0,34.4694887300715,2.3089609675646,7.86146234194612,50275,50.275,25,12.0065789473684,40.296052631579,310200,3.102,32.5602968460111,67.4397031539889,14.9350649350649,8.30126443100605,0.3922,-0.129934210526316,-0.176252319109462,0.590434304562947,-1.77416656946088,"2","4"
95375,168,0.0168,100,0,0,0,0,22467,22.467,50.6666666666667,0,49.3333333333333,398700,3.987,0,100,0,0,0.0919,-0.506666666666667,0,1,-2.37045195775272,"2","4"
95376,48593,4.8593,36.626674623917,5.52342930051654,43.5330191591381,8.9766015681271,9.59809025991398,62360,62.36,16.8167567206991,28.1502234674138,17.4037755986926,282400,2.824,19.2748423949009,80.7251576050991,16.6695691546794,10.9748317658922,0.4154,0.113334667467147,-0.0260527324022151,0.311032453234005,-1.87636321759472,"2","4"
95377,29649,2.9649,30.3450369321056,6.6039326790111,30.8779385476745,25.3094539444838,11.4944854801174,100414,100.414,6.5179677819083,50.545229244114,17.3853779429988,339900,3.399,13.2305194805195,86.7694805194805,28.5540352504638,17.3294208910924,0.3359,0.440272614622057,0.153235157699443,0.237411042530945,0.93797732341307,"4","7"
95379,3986,0.3986,81.4601103863522,0,10.4616156547918,0.602107375815354,11.7410938283994,43672,43.672,22.9668184775537,12.0364346128822,21.665582303188,315500,3.155,6.73904904530138,93.2609509546986,14.1520029951329,9.6588058203713,0.3992,-0.109303838646714,0.0741295394983152,0.814601103863522,-1.80054345889117,"2","4"
95380,39661,3.9661,47.6942084163284,1.06401754872545,44.9812158039384,3.05085600463932,4.717480648496,39503,39.503,30.9319435928878,14.0021459227468,13.4733292458614,207000,2.07,29.5007886771539,70.4992113228461,13.5822995267937,9.50555961776052,0.4424,-0.16929797670141,-0.159184891503602,0.466301908676029,-4.26517667706046,"1","2"
95382,36863,3.6863,62.1843040447061,2.267856658438,22.5944714212083,8.18707104684914,7.99175324851477,63588,63.588,18.4765122265122,25.0723938223938,21.9272844272844,275900,2.759,13.9336781259507,86.0663218740493,30.1621104785084,15.4355315628137,0.4077,0.065958815958816,0.162284323525577,0.599164473862681,-0.14113587359522,"3","6"
95383,3885,0.3885,86.1776061776062,0,8.39124839124839,0.746460746460746,5.40540540540541,50708,50.708,10.7002801120448,19.6638655462185,32.8291316526611,347700,3.477,7.9217765992708,92.0782234007292,26.2180974477958,12.5353925353925,0.3995,0.0896358543417367,0.18296320848525,0.861776061776062,0.224931959265707,"3","6"
95385,366,0.0366,28.4153005464481,2.73224043715847,67.2131147540984,0,1.63934426229508,36339,36.339,34.6938775510204,19.047619047619,0,9999,0.09999,43.5714285714286,56.4285714285714,2.85714285714286,3.55191256830601,0.4285,-0.156462585034014,-0.407142857142857,0.256830601092896,-8.04815167395267,"1","1"
95386,9802,0.9802,55.8253417669863,0.397877984084881,40.3285043868598,0.22444399102224,4.73372781065089,53037,53.037,22.6178365547643,18.0739233638522,16.2767039674466,205100,2.051,31.9357092941999,68.0642907058001,12.6834381551363,10.5794735768211,0.4164,-0.0454391319091217,-0.192522711390636,0.554274637829014,-3.53095639782893,"2","3"
95387,759,0.0759,20.1581027667984,0,79.8418972332016,0,0,44813,44.813,7.14285714285714,0,0,264300,2.643,54.6099290780142,45.3900709219858,0,6.58761528326746,0.2186,-0.0714285714285714,-0.546099290780142,0.201581027667984,-6.98033670373438,"1","1"
95388,14248,1.4248,21.9188658057271,1.30544637843908,69.2307692307692,7.15889949466592,0.772038180797305,34232,34.232,35.5333844973139,9.20951650038373,10.5653619851624,170800,1.708,51.8218102227372,48.1781897772628,5.54911806360242,5.08141493542953,0.426,-0.263238679969302,-0.462726921591348,0.20613419427288,-6.961483672435,"1","1"
95389,1015,0.1015,80.2955665024631,7.19211822660099,5.71428571428571,6.79802955665025,0,62245,62.245,11.4864864864865,41.2162162162162,25,513200,5.132,8.46354166666667,91.5364583333333,23.046875,12.9064039408867,0.2904,0.297297297297297,0.145833333333333,0.731034482758621,0.672178683001252,"3","6"
95391,9066,0.9066,28.105007721156,13.2252371497904,18.0013236267373,31.7339510258107,12.9494815795279,96230,96.23,4.97493251060548,47.3582722715002,18.7813343617432,381000,3.81,5.76658138161779,94.2334186183822,43.7512300728203,18.1226560776528,0.3048,0.423833397608947,0.379846486912025,0.148797705713655,2.35595735545099,"4","7"
95401,35290,3.529,52.646642108246,2.09407764239161,34.471521677529,5.41513176537263,9.03655426466421,55744,55.744,21.8183233439714,18.7592434031291,23.5463532342181,352300,3.523,19.7794741306192,80.2205258693808,21.1620016963528,13.2813828279966,0.4127,-0.0305907994084222,0.0138252756573367,0.505525644658544,-0.983337370054044,"3","5"
95403,44676,4.4676,60.6567284448026,2.53379890769093,27.1958098307816,5.37648849494136,6.68815471394037,57901,57.901,21.6086145701739,24.8150153401913,24.2495337784997,418100,4.181,15.4278703609038,84.5721296390962,26.0675459223665,15.1244516071269,0.4515,0.0320640077001745,0.106396755614627,0.581229295371116,0.0833925097904071,"3","6"
95404,38803,3.8803,70.7161817385254,1.84006391258408,21.4390639898977,2.76009586887612,5.85264025977373,66706,66.706,18.2408538545618,31.1901240918151,32.1481386227737,562600,5.626,9.17733363275694,90.8226663672431,41.1595179279886,20.6350024482643,0.456,0.129492702372533,0.319821842952317,0.688761178259413,3.15946167117166,"4","8"
95405,20898,2.0898,78.1558043831946,1.20585701981051,13.6568092640444,4.47411235524931,4.25878074456886,68410,68.41,16.3597982877917,32.191861146945,35.4051835346546,467600,4.676,7.96548290740126,92.0345170925987,37.0063060073017,19.9923437649536,0.4322,0.158320628591533,0.290408230999004,0.769499473633841,2.82625261584062,"4","8"
95407,39221,3.9221,40.0117284108003,3.44968256801203,47.5306595956248,5.7443716376431,5.25228831493333,56773,56.773,18.1810381810382,19.4337194337194,15.5555555555556,336600,3.366,30.234276524536,69.765723475464,13.6002086321554,8.8345529180796,0.3828,0.0125268125268125,-0.166340678923806,0.365620458427883,-2.93346906640719,"2","3"
95409,26843,2.6843,77.4838877919756,1.38211079238535,15.0765562716537,2.87598256528704,5.0925753455277,66041,66.041,17.4432395798035,29.4476448661471,45.374449339207,482200,4.822,7.77170613236187,92.2282938676381,39.5011131349929,16.3133777893678,0.4311,0.120044052863436,0.31729407002631,0.761017769995902,3.23133133640529,"4","8"
95410,884,0.0884,93.2126696832579,0,3.50678733031674,1.58371040723982,3.39366515837104,14799,14.799,53.7444933920705,0,17.1806167400881,5e+05,5,1.23287671232877,98.7671232876712,30.6849315068493,12.6696832579186,0.4569,-0.537444933920705,0.294520547945205,0.932126696832579,-2.18674045840778,"2","4"
95412,235,0.0235,63.8297872340426,0,2.5531914893617,2.5531914893617,35.3191489361702,52500,52.5,6.25,12.5,40.625,1000001,10.00001,13.0232558139535,86.9767441860465,9.76744186046512,7.23404255319149,0.2859,0.0625,-0.0325581395348837,0.638297872340426,1.86210155085738,"4","7"
95415,1605,0.1605,43.5514018691589,0,54.6417445482866,0.685358255451713,1.68224299065421,40931,40.931,24.6031746031746,5.07936507936508,31.4285714285714,394600,3.946,33.3333333333333,66.6666666666667,16.9398907103825,8.78504672897196,0.362,-0.195238095238095,-0.163934426229508,0.435514018691589,-2.33790628172653,"2","4"
95417,123,0.0123,65.8536585365854,0,30.8943089430894,3.2520325203252,0,17083,17.083,55.5555555555556,27.7777777777778,37.037037037037,512500,5.125,14.5631067961165,85.4368932038835,37.8640776699029,18.6991869918699,0.4825,-0.277777777777778,0.233009708737864,0.658536585365854,-0.253698532168421,"3","6"
95420,494,0.0494,96.3562753036437,0,0.202429149797571,0,6.88259109311741,78750,78.75,18.716577540107,8.55614973262032,19.2513368983957,488000,4.88,0.552486187845304,99.4475138121547,48.8950276243094,32.7935222672065,0.244,-0.101604278074866,0.483425414364641,0.963562753036437,4.44383305340951,"5","9"
95421,1405,0.1405,85.8362989323843,0.99644128113879,7.47330960854092,1.56583629893238,8.11387900355872,58250,58.25,21.474358974359,27.0833333333333,26.4423076923077,459200,4.592,7.91738382099828,92.0826161790017,34.9397590361446,16.797153024911,0.4262,0.0560897435897436,0.270223752151463,0.848398576512456,1.43066786970962,"4","7"
95422,15403,1.5403,64.2017788742453,5.18730117509576,23.5668376290333,1.00629747451795,9.83574628319159,28908,28.908,43.931076547728,5.51997560231778,14.0439158279963,136600,1.366,19.1629529161015,80.8370470838985,7.30478589420655,6.15464519898721,0.4253,-0.384111009454102,-0.11858167021895,0.590144776991495,-5.28292572085384,"1","2"
95423,2949,0.2949,86.2326212275348,3.93353679213293,3.56052899287894,0,6.81586978636826,41738,41.738,29.2134831460674,12.059925093633,19.5505617977528,195500,1.955,10.5714285714286,89.4285714285714,15.3877551020408,6.95150898609698,0.4124,-0.171535580524345,0.0481632653061225,0.822990844354018,-2.95119642140122,"2","3"
95425,10524,1.0524,67.7689091600152,0.142531356898518,26.9859369061193,3.65830482706195,2.66058532877233,57407,57.407,16.2662662662663,22.7227227227227,29.1791791791792,425400,4.254,18.0574188355246,81.9425811644754,22.7394687416152,13.3599391866211,0.4007,0.0645645645645646,0.0468204990609069,0.676263778031167,-0.0672606436776115,"3","6"
95426,2287,0.2287,86.4451246174027,0,5.85920419763883,4.32881504153913,6.25273283777875,71176,71.176,22.8028503562945,25.41567695962,22.8028503562945,262400,2.624,3.82271468144044,96.1772853185596,25.4847645429363,19.3703541757761,0.3644,0.0261282660332542,0.216620498614958,0.864451246174027,0.807489331583138,"3","6"
95427,266,0.0266,80.0751879699248,0,16.5413533834586,0,3.38345864661654,16938,16.938,69.4915254237288,9.03954802259887,18.0790960451977,596600,5.966,12.4513618677043,87.5486381322957,12.0622568093385,3.00751879699248,0.618,-0.604519774011299,-0.00389105058365759,0.800751879699248,-3.97005277620442,"2","3"
95428,2458,0.2458,48.4947111472742,0.284784377542718,8.0960130187144,3.66151342554923,45.7689178193653,27010,27.01,41.3865546218487,5.98739495798319,20.5882352941176,273200,2.732,19.2597239648683,80.7402760351317,13.7390213299875,10.6590724165989,0.4408,-0.353991596638655,-0.055207026348808,0.482099267697315,-3.65021161809212,"2","3"
95429,150,0.015,100,0,0,0,0,68250,68.25,9.33333333333333,13.3333333333333,64,491100,4.911,0,100,9.16030534351145,11.3333333333333,0.1926,0.04,0.0916030534351145,1,2.9488608614636,"4","8"
95430,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,-8.92200563937678,"1","1"
95431,435,0.0435,78.1609195402299,5.05747126436782,12.8735632183908,0.459770114942529,3.44827586206897,NA,NA,0,0,0,NA,NA,30.2631578947368,69.7368421052632,3.94736842105263,3.44827586206897,NA,0,-0.263157894736842,0.731034482758621,-4.63705088336022,"1","2"
95432,516,0.0516,78.6821705426357,0,0.968992248062015,13.953488372093,12.7906976744186,34612,34.612,36.8421052631579,14.17004048583,62.3481781376518,787500,7.875,0,100,52.987012987013,5.81395348837209,0.4114,-0.226720647773279,0.52987012987013,0.786821705426357,4.27053995077776,"5","9"
95435,193,0.0193,100,0,0,0,0,NA,NA,0,0,0,NA,NA,0,100,0,23.8341968911917,NA,0,0,1,-1.13048204008631,"3","5"
95436,5107,0.5107,81.8680242803995,0.117485803798708,12.4730761699628,2.31055414137458,5.091051497944,50355,50.355,24.7718383311604,19.2090395480226,33.5506301607997,436600,4.366,12.4007173968742,87.5992826031258,32.2316167050986,15.9584883493245,0.458,-0.0556279878313777,0.198308993082244,0.817505384766008,1.0378749735883,"4","7"
95437,13992,1.3992,72.6272155517438,0.471698113207547,21.9411092052601,1.0934819897084,5.8390508862207,40830,40.83,28.9595872742906,14.0498710232158,28.804815133276,390400,3.904,15.3193949320744,84.6806050679256,22.564794296175,12.9359634076615,0.4593,-0.149097162510748,0.0724539936410059,0.721555174385363,-0.861848498831866,"3","5"
95439,812,0.0812,61.3300492610837,0,30.6650246305419,8.00492610837438,0,42596,42.596,33.993399339934,35.973597359736,27.7227722772277,823300,8.233,27.708703374778,72.291296625222,26.8206039076377,15.8866995073892,0.4114,0.0198019801980198,-0.00888099467140318,0.613300492610837,0.795156309779621,"3","6"
95441,2538,0.2538,45.7052797478329,0.275807722616233,51.4972419227738,1.14263199369582,1.73364854215918,60375,60.375,12.9395218002813,32.4894514767932,31.6455696202532,665400,6.654,38.7975042541123,61.2024957458877,18.1508791832104,10.6382978723404,0.4673,0.19549929676512,-0.206466250709019,0.454294720252167,-0.427026752475552,"3","6"
95442,3859,0.3859,76.2114537444934,1.16610520860327,12.8012438455558,1.26975900492356,17.0251360456077,80308,80.308,6.87124749833222,41.6944629753169,42.0280186791194,715600,7.156,10.8259295820994,89.1740704179006,37.5781507074696,17.0769629437678,0.4912,0.348232154769846,0.267522211253702,0.750453485358901,4.20398404604208,"5","9"
95443,219,0.0219,100,0,0,0,0,32887,32.887,43.4343434343434,14.1414141414141,0,NA,NA,0,100,14.2857142857143,6.84931506849315,0.6282,-0.292929292929293,0.142857142857143,1,-3.27809778458593,"2","3"
95444,905,0.0905,63.646408839779,0,36.353591160221,0,0,71596,71.596,19.3939393939394,14.5454545454545,26.0606060606061,551500,5.515,11.7328519855596,88.2671480144404,46.5703971119134,26.1878453038674,0.3858,-0.0484848484848485,0.348375451263538,0.63646408839779,3.56393007459173,"4","8"
95445,1754,0.1754,74.515393386545,0,23.7172177879133,1.25427594070696,0.96921322690992,50020,50.02,19.2166462668299,14.5654834761322,47.3684210526316,535600,5.356,11.6179615110478,88.3820384889522,23.8061297220242,14.9372862029647,0.4217,-0.0465116279069768,0.121881682109765,0.74515393386545,1.85972357297719,"4","7"
95446,5004,0.5004,88.0295763389289,0.319744204636291,10.1318944844125,0.259792166266986,2.07833733013589,43049,43.049,33.9257503949447,20.3396524486572,24.1706161137441,398300,3.983,10.1994445847008,89.8005554152992,36.2029790456955,19.9840127897682,0.4689,-0.135860979462875,0.260035344609947,0.877098321342926,0.657640252814566,"3","6"
95448,17448,1.7448,68.8846859238881,0.83104080696928,27.1664374140303,0.550206327372765,3.85144429160935,69855,69.855,15.7956204379562,31.6204379562044,35.4306569343066,654000,6.54,13.0133597229095,86.9866402770906,36.1454725383473,19.7443833104081,0.4804,0.158248175182482,0.231321128154379,0.680536451169188,3.30230873603162,"4","8"
95449,1898,0.1898,54.5310853530032,0,28.4510010537408,0,20.231822971549,39720,39.72,32.9411764705882,13.4453781512605,17.6470588235294,558100,5.581,20.4231082180635,79.5768917819365,15.2969894222945,13.9093782929399,0.4723,-0.194957983193277,-0.0512611879576892,0.545310853530032,-1.50590484631267,"3","5"
95450,257,0.0257,91.0505836575876,0,8.94941634241245,0,0,51875,51.875,4.8780487804878,29.2682926829268,43.0894308943089,627600,6.276,0.921658986175115,99.0783410138249,47.0046082949309,21.011673151751,0.4426,0.24390243902439,0.460829493087558,0.910505836575875,4.39520208932588,"5","9"
95451,11311,1.1311,77.2610732914862,0.72495800548139,18.4422243833436,1.38802935195827,3.12085580408452,47027,47.027,23.9410681399632,15.7228360957643,27.6243093922652,265900,2.659,11.3205296433258,88.6794703566742,20.1359895025647,13.5973830784192,0.4019,-0.082182320441989,0.0881545985923893,0.765361152860048,-0.995749411395429,"3","5"
95452,801,0.0801,81.5230961298377,0,11.6104868913858,3.24594257178527,7.24094881398252,63199,63.199,11.6389548693587,36.5795724465558,49.4061757719715,840300,8.403,0,100,60.0297176820208,19.4756554307116,0.534,0.249406175771972,0.600297176820208,0.815230961298377,6.6560005351224,"5","9"
95453,11721,1.1721,77.5104513266786,1.14324716321133,15.1096322839348,1.27975428717686,7.19221909393396,42191,42.191,29.9548095545513,23.8863783085862,25.6724768667958,276400,2.764,11.9913575801224,88.0086424198776,21.7500900252071,13.053493729204,0.4757,-0.0606843124596514,0.0975873244508462,0.763672041634673,-1.3210645128983,"3","5"
