"zip","zcta"
93218,93218
93219,93219
93220,93220
93221,93221
93222,93222
93223,93223
93224,93224
93225,93225
93226,93226
93227,93291
93230,93230
93232,93230
93234,93234
93235,93235
93237,93271
93238,93238
93239,93239
93240,93240
93241,93241
93242,93242
93243,93243
93244,93244
93245,93245
93246,93245
93247,93247
93249,93249
93250,93250
93251,93251
93252,93252
93254,93254
93255,93255
93256,93256
93257,93257
93258,93258
93260,93260
93261,93261
93262,93262
93263,93263
93265,93265
93266,93266
93267,93267
93268,93268
93270,93270
93271,93271
93272,93272
93274,93274
93275,93274
93276,93276
93277,93277
93278,93277
93279,93277
93280,93280
93282,93274
93283,93283
93285,93285
93286,93286
93287,93287
93290,93277
93291,93291
93292,93292
93301,93301
93302,93308
93303,93308
93304,93304
93305,93305
93306,93306
93307,93307
93308,93308
93309,93309
93311,93311
93312,93312
93313,93313
93314,93314
93380,93308
93383,93313
93384,93304
93385,93304
93386,93306
93387,93304
93388,93308
93389,93309
93390,93311
93401,93401
93402,93402
93403,93401
93405,93405
93406,93401
93407,93405
93408,93401
93409,93405
93410,93410
93412,93402
93420,93420
93421,93445
93422,93422
93423,93422
93424,93424
93426,93426
93427,93427
93428,93428
93429,93429
93430,93430
93432,93432
93433,93433
93434,93434
93435,93430
93436,93436
93437,93437
93438,93436
93440,93440
93441,93441
93442,93442
93443,93442
93444,93444
93445,93445
93446,93446
93447,93446
93448,93449
93449,93449
93450,93450
93451,93451
93452,93452
93453,93453
93454,93454
93455,93455
93456,93454
93457,93455
93458,93458
93460,93460
93461,93461
93463,93463
93464,93463
93465,93465
93475,93445
93483,93433
93501,93501
93502,93501
93504,93505
93505,93505
93510,93510
93512,93512
93513,93513
93514,93514
93515,93514
93516,93516
93517,93517
93518,93518
93519,93519
93522,93522
93523,93523
93524,93524
93526,93526
93527,93527
93528,93528
93529,93529
93530,93530
93531,93531
93532,93532
93534,93534
93535,93535
93536,93536
93539,93534
93541,93541
93542,93555
93543,93543
93544,93544
93545,93545
93546,93546
93549,93549
93550,93550
93551,93551
93552,93552
93553,93553
93554,93554
93555,93555
93556,93555
93558,93558
93560,93560
93561,93561
93562,93562
93563,93563
93581,93561
93584,93534
93586,93536
93590,93550
93591,93591
93592,93592
93596,93516
93599,93550
93601,93601
93602,93602
93603,93603
93604,93604
93605,93605
93606,93606
93607,93656
93608,93608
93609,93609
93610,93610
93611,93611
93612,93612
93613,93612
93614,93614
93615,93615
93616,93616
93618,93618
93619,93619
93620,93620
93621,93621
93622,93622
93623,93623
93624,93624
93625,93625
93626,93626
93627,93627
93628,93628
93630,93630
93631,93631
93633,93633
93634,93634
93635,93635
93636,93636
93637,93637
93638,93638
93639,93638
93640,93640
93641,93641
93642,93664
93643,93643
93644,93644
93645,93645
93646,93646
93647,93647
93648,93648
93649,93654
93650,93650
93651,93651
93652,93652
93653,93653
93654,93654
93656,93656
93657,93657
93660,93660
93661,93620
93662,93662
93664,93664
93665,93665
93666,93666
93667,93667
93668,93668
93669,93669
93670,93615
93673,93673
93675,93675
93701,93701
93702,93702
93703,93703
93704,93704
93705,93705
93706,93706
93707,93721
93708,93721
93709,93721
93710,93710
93711,93711
93712,93721
93714,93721
93715,93721
93716,93721
93717,93721
93718,93721
93720,93720
93721,93721
93722,93722
93723,93723
93724,93721
93725,93725
93726,93726
93727,93727
93728,93728
93729,93720
93730,93730
93737,93721
93740,93710
93741,93704
93744,93728
93745,93725
93747,93727
93750,93702
93755,93704
93760,93721
93761,93701
93764,93721
93765,93705
93771,93706
93772,93706
93773,93706
93774,93706
93775,93706
93776,93706
93777,93706
93778,93706
93779,93706
93786,93706
93790,93705
93791,93705
93792,93705
93793,93705
93794,93705
93844,93727
93888,93727
93901,93901
93902,93901
93905,93905
93906,93906
93907,93907
93908,93908
93912,93907
93915,93905
93920,93920
93921,93921
93922,93923
93923,93923
93924,93924
93925,93925
93926,93926
93927,93927
93928,93928
93930,93930
93932,93932
93933,93933
93940,93940
93942,93940
93943,93943
93944,93940
93950,93950
93953,93953
93954,93954
93955,93955
93960,93960
93962,93962
94002,94002
94005,94005
94010,94010
94011,94010
94014,94014
94015,94015
94016,94014
94017,94015
94018,94019
94019,94019
94020,94020
94021,94021
94022,94022
94023,94022
94024,94024
94025,94025
94026,94025
94027,94027
94028,94028
94030,94030
94035,94043
94037,94037
94038,94038
94039,94043
94040,94040
94041,94041
94042,94041
94043,94043
94044,94044
94060,94060
94061,94061
94062,94062
94063,94063
94064,94063
94065,94065
94066,94066
94070,94070
94074,94074
94080,94080
94083,94080
94085,94085
94086,94086
94087,94087
94088,94085
94089,94089
94102,94102
94103,94103
94104,94104
94105,94105
94107,94107
94108,94108
94109,94109
94110,94110
94111,94111
94112,94112
94114,94114
94115,94115
94116,94116
94117,94117
94118,94118
94119,94105
94120,94104
94121,94121
94122,94122
94123,94123
94124,94124
94125,94102
94126,94111
94127,94127
94128,94128
94129,94129
94130,94130
94131,94131
94132,94132
94133,94133
94134,94134
94137,94104
94139,94104
94140,94109
94141,94103
94142,94103
94143,94117
94144,94118
94145,94104
94146,94114
94147,94123
94151,94105
