"providerid","residentnum","residency","residencygu"
51055,0,FALSE,FALSE
51056,0,FALSE,FALSE
51059,0,FALSE,FALSE
51060,0,FALSE,FALSE
51061,0,FALSE,FALSE
51062,0,FALSE,FALSE
51063,0,FALSE,FALSE
51064,0,FALSE,FALSE
51065,0,FALSE,FALSE
51067,0,FALSE,FALSE
51068,0,FALSE,FALSE
5106,0,FALSE,FALSE
51070,0,FALSE,FALSE
51071,0,FALSE,FALSE
51072,0,FALSE,FALSE
51073,0,FALSE,FALSE
51074,0,FALSE,FALSE
51075,0,FALSE,FALSE
51076,0,FALSE,FALSE
51077,0,FALSE,FALSE
51078,0,FALSE,FALSE
51079,0,FALSE,FALSE
51080,0,FALSE,FALSE
51081,0,FALSE,FALSE
51082,0,FALSE,FALSE
51083,0,FALSE,FALSE
51084,0,FALSE,FALSE
51085,0,FALSE,FALSE
51086,0,FALSE,FALSE
51087,0,FALSE,FALSE
51088,0,FALSE,FALSE
51089,0,FALSE,FALSE
51090,0,FALSE,FALSE
51091,0,FALSE,FALSE
51092,0,FALSE,FALSE
51093,0,FALSE,FALSE
51094,0,FALSE,FALSE
51095,0,FALSE,FALSE
51096,0,FALSE,FALSE
51097,0,FALSE,FALSE
51098,0,FALSE,FALSE
51099,0,FALSE,FALSE
51100,0,FALSE,FALSE
51101,0,FALSE,FALSE
51102,0,FALSE,FALSE
51103,0,FALSE,FALSE
51104,0,FALSE,FALSE
51105,0,FALSE,FALSE
51106,0,FALSE,FALSE
51107,0,FALSE,FALSE
51108,0,FALSE,FALSE
51109,0,FALSE,FALSE
51110,0,FALSE,FALSE
51111,0,FALSE,FALSE
51112,0,FALSE,FALSE
51114,0,FALSE,FALSE
51115,0,FALSE,FALSE
51116,0,FALSE,FALSE
51117,0,FALSE,FALSE
51118,0,FALSE,FALSE
51119,0,FALSE,FALSE
51120,0,FALSE,FALSE
51121,0,FALSE,FALSE
51122,0,FALSE,FALSE
51123,0,FALSE,FALSE
51124,0,FALSE,FALSE
51125,0,FALSE,FALSE
51126,0,FALSE,FALSE
51127,0,FALSE,FALSE
51128,0,FALSE,FALSE
51129,0,FALSE,FALSE
51130,0,FALSE,FALSE
51131,0,FALSE,FALSE
51132,0,FALSE,FALSE
51133,0,FALSE,FALSE
51134,0,FALSE,FALSE
51135,0,FALSE,FALSE
51136,0,FALSE,FALSE
