ZIPCODEN,ZIPCODEA,ZIPTYPE,RESZIPN,RESZIPA,RUCA30
1949,1949,1,1949,1949,1
1950,1950,1,1950,1950,1
1951,1951,1,1951,1951,1
1952,1952,1,1952,1952,1
1960,1960,1,1960,1960,1
1961,1961,2,1960,1960,1
1965,1965,2,1915,1915,1
1966,1966,1,1966,1966,1
1969,1969,1,1969,1969,1
1970,1970,1,1970,1970,1
1971,1971,2,1970,1970,1
1982,1982,1,1982,1982,1
1983,1983,1,1983,1983,1
1984,1984,1,1984,1984,1
1985,1985,1,1985,1985,1
2018,2018,2,2043,2043,1
2019,2019,1,2019,2019,1.1
2020,2020,2,2050,2050,1
2021,2021,1,2021,2021,1
2025,2025,1,2025,2025,1
2026,2026,1,2026,2026,1
2027,2027,2,2026,2026,1
2030,2030,1,2030,2030,1
2032,2032,1,2032,2032,1
2035,2035,1,2035,2035,1
2038,2038,1,2038,2038,1
2040,2040,2,2066,2066,1
2041,2041,2,2050,2050,1
2043,2043,1,2043,2043,1
2044,2044,2,2043,2043,1
2045,2045,1,2045,2045,1
2047,2047,2,2050,2050,1
2048,2048,1,2048,2048,1
2050,2050,1,2050,2050,1
2051,2051,2,2050,2050,1
2052,2052,1,2052,2052,1
2053,2053,1,2053,2053,1
2054,2054,1,2054,2054,1
2055,2055,2,2066,2066,1
2056,2056,1,2056,2056,1
2059,2059,2,2050,2050,1
2060,2060,2,2062,2062,1
2061,2061,1,2061,2061,1
2062,2062,1,2062,2062,1
2065,2065,2,2050,2050,1
2066,2066,1,2066,2066,1
2067,2067,1,2067,2067,1
2070,2070,2,2093,2093,1
2071,2071,1,2071,2071,1
2072,2072,1,2072,2072,1
2081,2081,1,2081,2081,1
2090,2090,1,2090,2090,1
2093,2093,1,2093,2093,1
2108,2108,1,2108,2108,1
2109,2109,1,2109,2109,1
2110,2110,1,2110,2110,1
2111,2111,1,2111,2111,1
2112,2112,2,2109,2109,1
2113,2113,1,2113,2113,1
2114,2114,1,2114,2114,1
2115,2115,1,2115,2115,1
2116,2116,1,2116,2116,1
2117,2117,2,2118,2118,1
2118,2118,1,2118,2118,1
2119,2119,1,2119,2119,1
2120,2120,1,2120,2120,1
2121,2121,1,2121,2121,1
2122,2122,1,2122,2122,1
2123,2123,2,2115,2115,1
2124,2124,1,2124,2124,1
2125,2125,1,2125,2125,1
2126,2126,1,2126,2126,1
2127,2127,1,2127,2127,1
2128,2128,1,2128,2128,1
2129,2129,1,2129,2129,1
2130,2130,1,2130,2130,1
2131,2131,1,2131,2131,1
2132,2132,1,2132,2132,1
2133,2133,2,2108,2108,1
2134,2134,1,2134,2134,1
2135,2135,1,2135,2135,1
2136,2136,1,2136,2136,1
2137,2137,2,2136,2136,1
2138,2138,1,2138,2138,1
2139,2139,1,2139,2139,1
2140,2140,1,2140,2140,1
2141,2141,1,2141,2141,1
2142,2142,1,2142,2142,1
2143,2143,1,2143,2143,1
2144,2144,1,2144,2144,1
2145,2145,1,2145,2145,1
2148,2148,1,2148,2148,1
2149,2149,1,2149,2149,1
2150,2150,1,2150,2150,1
2151,2151,1,2151,2151,1
2152,2152,1,2152,2152,1
2153,2153,1,2153,2153,1
2155,2155,1,2155,2155,1
2156,2156,2,2155,2155,1
2163,2163,1,2163,2163,1
2169,2169,1,2169,2169,1
2170,2170,1,2170,2170,1
2171,2171,1,2171,2171,1
2176,2176,1,2176,2176,1
2180,2180,1,2180,2180,1
2184,2184,1,2184,2184,1
2185,2185,2,2184,2184,1
2186,2186,1,2186,2186,1
2187,2187,2,2186,2186,1
2188,2188,1,2188,2188,1
2189,2189,1,2189,2189,1
2190,2190,1,2190,2190,1
2191,2191,1,2191,2191,1
2196,2196,2,2111,2111,1
2199,2199,1,2199,2199,1
2201,2201,2,2108,2108,1
2203,2203,2,2114,2114,1
2204,2204,2,2150,2150,1
2205,2205,2,2111,2111,1
2206,2206,2,2210,2210,1
2210,2210,1,2210,2210,1
2211,2211,2,2109,2109,1
2212,2212,2,2110,2110,1
2215,2215,1,2215,2215,1
2217,2217,2,2116,2116,1
2222,2222,2,2114,2114,1
2228,2228,2,2108,2108,1
2238,2238,2,2138,2138,1
2241,2241,2,2110,2110,1
2266,2266,2,2111,2111,1
2269,2269,2,2169,2169,1
2283,2283,2,2111,2111,1
2284,2284,2,2111,2111,1
2293,2293,2,2108,2108,1
2297,2297,2,2109,2109,1
2298,2298,2,2109,2109,1
2301,2301,1,2301,2301,1
2302,2302,1,2302,2302,1
2303,2303,2,2302,2302,1
2304,2304,2,2301,2301,1
2305,2305,2,2301,2301,1
2322,2322,1,2322,2322,1
2324,2324,1,2324,2324,1
2325,2325,1,2325,2325,1
2327,2327,2,2359,2359,1
2330,2330,1,2330,2330,1.1
2331,2331,2,2332,2332,1
2332,2332,1,2332,2332,1
2333,2333,1,2333,2333,1
2334,2334,2,2375,2375,1
2337,2337,2,2333,2333,1
2338,2338,1,2338,2338,1
2339,2339,1,2339,2339,1
2340,2340,2,2339,2339,1
2341,2341,1,2341,2341,1
2343,2343,1,2343,2343,1
2344,2344,2,2346,2346,1
2345,2345,2,2360,2360,1
2346,2346,1,2346,2346,1
2347,2347,1,2347,2347,1.1
2348,2348,2,2347,2347,1.1
2349,2349,2,2346,2346,1
2350,2350,2,2338,2338,1
2351,2351,1,2351,2351,1
2355,2355,2,2330,2330,1.1
2356,2356,1,2356,2356,1
2357,2357,2,2356,2356,1
2358,2358,2,2359,2359,1
2359,2359,1,2359,2359,1
2360,2360,1,2360,2360,1
2361,2361,2,2360,2360,1
2362,2362,2,2360,2360,1
2364,2364,1,2364,2364,1
2366,2366,2,2330,2330,1.1
2367,2367,1,2367,2367,2
2368,2368,1,2368,2368,1
2370,2370,1,2370,2370,1
2375,2375,1,2375,2375,1
2379,2379,1,2379,2379,1
2381,2381,2,2360,2360,1
2382,2382,1,2382,2382,1
2420,2420,1,2420,2420,1
2421,2421,1,2421,2421,1
2445,2445,1,2445,2445,1
2446,2446,1,2446,2446,1
2447,2447,2,2445,2445,1
2451,2451,1,2451,2451,1
2452,2452,1,2452,2452,1
2453,2453,1,2453,2453,1
2454,2454,2,2451,2451,1
2455,2455,2,2108,2108,1
2456,2456,2,2459,2459,1
2457,2457,2,2492,2492,1
2458,2458,1,2458,2458,1
2459,2459,1,2459,2459,1
2460,2460,1,2460,2460,1
